Empresa,Correo,Ciudad,Estado,Fuente
"ABASTECEDORA ACEROS SAN LUIS, S.A.",acerossan@prodigy.net.mx,Tlahuac,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ABASTECEDORA CUITLAHUAC S.A. D EC.V,acuitlahuac@prodigy.net.mx,Azcapotzalco,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ABASTECEDORA DE ACEROS DE TAMPICO, S.A. DE C.V.",aatsa@prodigy.net.mx,Tampico,Tamaulipas,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ABASTECEDORA DE ACEROS Y MAQUILAS,",compras@aamsa.com,Guadalupe,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md; 583034336-Pad-Imp_extraccion_forense.md
ABASTECEDORA DE ANDAMIOS,,Cuautitlan Izcalli,Estado Mex.,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ABASTECEDORA DE ANDAMIOS Y HAMACAS,abastecedora.de.andamios@hotmial.com,Cuautitlan,Estado Mex.,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ABASTECEDORA DE COCINAS Y COMEDO RES, S.A. DE C.V.",,Cuauhtemoc,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
"ABASTECEDORA DE EQUIPOS Y ACCESO RIOS, S.A. DE C.V.",abeasa@abeasa.com,Benito Juarez,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ABASTECEDORA DE INSUMOS Y PINTURAS,,Tampico,Tamaulipas,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ABASTECEDORA DE MATERIALEX LIGEROS SA DE CV,immaseo@prodigy.net.mx,Gustavo A. Madero,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
"ABASTECEDORA DE PERFILES Y ACEROS COMERCIALES, S.A. DE C.V.",,Durango,Durango,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
"ABASTECEDORA DE SOLDADURA Y HERRA JES, S.A. DE C.V.",ashmexsa@yahoo.com,Guadalupe,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ABASTECEDORA DE VIDRIO Y ESPEJOS, S.A. DE C.V.",,Jiutepec,Morelos,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
"ABASTECEDORA ELECTRICA DE SALTILLO, S.A. DE C.V.",,Saltillo,Coahuila,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ABASTECEDORA HERVIALU S.A.,efrendavila2027@prodigy.net.mx,Alvaro Obregon,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ABASTECEDORA LEAL, S.A. DE C.V.",abasleal@abasleal.com.mx,San Nicolas De Los Garza,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md; 583034336-Pad-Imp_extraccion_forense.md; 690887699-Directorio-2023-4_extraccion_forense.md
"ABASTECEDORES DE MATERIALES ELÉCTRICOS, S.A. DE C.V.",ventas@amesa.com.mx,,Sinaloa,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
"ABASTECEDORES DIELECTRICOS, S.A. DE C.V.",,Gustavo A. Madero,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ABASTECEDORES INDUSTRIALES, S.A. DE C.V.",rrabastecedores@prodigy.net.mx,Gustavo A. Madero,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ABASTECIMIENTOS INDUSTRIALES GAR, S.A. DE C.V.",,Gustavo A. Madero,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ABASTESCEDORA DE MATERIALEX LIGE ROS S.A. DE CV,immase@prodigy.net.mx,Gustavo A. Madero,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ABB AIRE ACONDICIONADO Y REFRIGE,climas_yservicios@yahoo.com,Monterrey,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
"ABB MEXICO FANS, S.A. DE C.V",oscar.maya@flans.com.mx,Tultitlan,Estado Mex.,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ABC AIRE BALANCE Y CONTROL, S.A. DE C.V.",,Cd. Juarez,Chihuahua,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ABC ALUMINIO DE BAJA CALIFORNIA,asarabia@aluminiobc.com,Mexicalli,B.C.N.,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ABC CONCRETOS,saltillo@abcconcretos.com,Saltillo,Coahuila,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
"ABC ESTUDIO, S.A. DE C.V.",lupita.gildiaz@yahoo.com.mx,Benito Juarez,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ABC INGENIEROS ESTRUCTURALES,S.A.",adoro@abc-ingenieria.com,Naucalpan De Juarez,Estado de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ABINCO, S.A DE C.V.",ventas@abinco.com.mx,Monterrey,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md; 583034336-Pad-Imp_extraccion_forense.md
"ABINSA ACERO, S.A DE C.V.",abinsa-ventas@grupoabx.com,San Nicolas De Los Garza,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ABOGADOS Y ASOCIADOS, S.C.",abogadosyasociados@gmail.com.mx,Benito Juarez,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ABRE PUERTAS Y CONTROLES AUTOMA,ventas@suporteroautomatico.com,Gustavo A Madero,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ABRE PUERTAS Y CONTROLES AUTOMATICOS,ventas@suporteroautomatico.com,Gustavo A Madero,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ABRE PUERTAS, S.A. DE C.V.",ventas@suporteroautomatico.com,Gustavo A. Madero,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ABREGO RODRIGUEZ CESAR ARQ.,,Coyoacan,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ABRETODO CHAPULTEPEC,abretodochapultepec@hotmail.com,Cuauhtemoc,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ABRINCA ABASTECEDORA INDUSTRIAL,,Aguascalientes,Aguascalientes,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ABSAREY ISOFOIL AISLANTES,crw@absarey.com,Santa Catarina,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ABULARACH LUGO JORGE ARQ.,,Torreon,Coahuila,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ABX FIESTA PERFECTA,coche_luisc@yahoo.com.mx,Venustiano Carranza,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"AC MAQUINARIA, S.A. DE C.V.",ac_maquinaria@yahoo.com.mx; carosdb@yahoo.com.mx,Miguel Hidalgo,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACABADOS ACRIDEK, S.A. DE C.V.",ofeliavillarreal@hotmail.com,Guadalupe,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACABADOS ARQUITECTONICOS,irapuatoacabados@prodigy.net.mx,Irapuato,Guanajuato,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACABADOS ASFALTICOS PARA LA CONS TRUCCION, S.A DE C.V.",aacsahmo@prodigy.net.mx,Hermosillo,Sonora,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACABADOS DECORACIONES Y MATERIALES DE MEXICO, S.A. DE C.V.",adema3@prodigy.net.mx,Benito Juarez,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACABADOS ESPECIALIZADOS EN VIDRIO Y ALUMINIO, S.A. DE C.V.",,Cuernavaca,Morelos,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 583034336-Pad-Imp_extraccion_forense.md
"ACABADOS INDUSTRIALES Y DECORATIVOS , S.A DE C.V",chisser@prodigy.net.mx,Torreon,Coahuila,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ACABADOS METALICOS,,Reynosa,Tamaulipas,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 583034336-Pad-Imp_extraccion_forense.md
"ACABADOS RESIDENCIALES Y COMERCIA LES, S.A. DE C.V.",aricsacv@aol.com,Coyoacan,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACABADOS VACSA,vacsa_mexico@hotmail.com,Naucalpan De Juarez,Estado Mex.,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACABADOS Y DECORACIONES GLADIS,,Azcapotzalco,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
"ACABADOS Y DISEÑOS DEL ALUMINIO, S.A.",,San Pedro Garza Garcia,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACABADOS Y PISOS EPOXICO A.P.,1152a@prodigy.net.mx,Magdalena Contreras,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ACABADOS Y PROCESOS VIDRIERÍA,vidrieria_patriotismo@prodigy.net.mx,Benito Juarez,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md
"ACABADOS Y TROQUELADOS SAN JOSE, S.A. DE C.V.",acabadosytroqueladossanjose@yahoo.com,Atizapan De Zaragoza,Estado de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACAFESTER,,Acapulco,Guerrero,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
"ACARREOS MAQUINARIA Y CONSTRUCCION, S.A. DE C.V.",,San Luis Potosi,San Luis Potosí,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ACCEOSORIOS PARA DECORACION,,Torreon,Coahuila,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
"ACCESORIOS DE MADERA PARA LA INDUS TRIA, S.A. DE C.V.",amisatol@prodigy.net.mx,Metepec,Estado de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACCESORIOS DE SEGURIDAD INDUSTRIAL DE PUEBLA, S.A. DE C.V.",accesoriosdeseguridda@hotmail.com,Puebla,Puebla,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ACCESORIOS E INSTALACIONES DE AIRE,aireacon@ptodigy.net.mx; aireaacond@prodigy.net.mx,Iztacalco,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
"ACCESORIOS E INSTALACIONES DE AIRE ACONDICIONADO, S.A. DE C.V.",aireacond@prodigy.net.mx,Iztacalco,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACCESOS AUTOMATICOS,accesos.automaticos@hotmail.com,Tijuana,B.C.N.,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACCESS TECHNOLOGIES,rosani@prodigy.net.mx,Monterrey,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
"ACCORD CASA DE DECORACION, S.A. DE C.V.",accord@infosel.net.mx,Monterrey,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACCROCHER, S.A. DE C.V.",ventas@accrocher.com.mx,Monterrey,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md; 583034336-Pad-Imp_extraccion_forense.md
ACEINOX,cotizaciones@aceinox.com.mx,Web: Www.Aceinox.Com.Mx E-Mail:Cotizaciones@Aceinox.Com.Mx Cuauhtémoc,D.F,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACERART, S.A. DE C.V.",,Naucalpan De Juarez,Estado Mex.,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACERAXY, S.A. DE C.V.",ventasaseraxi2@yahoo.com.mx,Azcapotzalco,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACERLAM DE SURESTE, S.A. DE C.V.",acerlam1@prodigi.net.mx,Merida,Yucatán,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACERO CALZADAS, S.A. DE C.V.",mdominguez@gruasvillarreal.com.mx,Cosoleacaque,Veracruz,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACERO DERIVADOS,,Iztapalapa,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACERO ESTRUCTURAS, S.A.",aeingop@prodigy.net.mx,Venustiano Carranza,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACERO FORMA, S.A. DE C.V.",aceroforma@prodigy.net.mx,Monterrey,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACERO INOXIDABLE LA PALOMA,toluca@lapalomaciademetales.com,Toluca,Estado de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACERO INOXIDABLE Y PROSESOS, S.A. DE C.V. CENTRO",ami5feb@cin.com.mx,Cuauhtemoc,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
"ACERO MALLA DE MEXICO, S.A DE C.V.",,Tlalnepantla,Estado Mex.,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACERO MAQ., S.A. DE C.V.",aceromac@prodigy.net.mx,Iztapalapa,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACERO MAXA, S.A. DE C.V.",correo@aceromacsa.com.mx,Iztapalapa,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACERO OPSIS,joseluisreyes@aceropsis.com,Cuauhtemoc,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACERO PALME,,Toluca,Estado de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACERO PRECIO, S.A. DE C.V.",ventasaceroprecio@prodidy.net.mx,Monterrey,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACERO REY,acrey3000@prodigy.net.mx,Irapuato,Guanajuato,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md; 583034336-Pad-Imp_extraccion_forense.md
ACERO SIVICON,sivicon@optical.com.mx,Miguel Hidalgo,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACERO SIVICON PUERTAS BLINDADAS,,,Colima,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACERO Y FIERRO DE MONTERREY, S.A. DE C.V. METALTE",vgonzalez@metaltek.com.mx,Guadalupe,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ACERO Y METALES INTERNACIONAL,,Toluca,Estado de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ACEROMART,jgduran@aceromart.com,Apodaca,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ACEROMEX,dvillarreal@aceromex.com,Ciénega De Flores,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 583034336-Pad-Imp_extraccion_forense.md
"ACEROS AL MAYOREO, S.A. DE C.V.",,Iztapalapa,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACEROS ALCALDE,,San Luis Potosi,San Luis Potosí,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 583034336-Pad-Imp_extraccion_forense.md
"ACEROS ARCA INTERNACIONAL, S.A DE C.V.",dearca@avantel.net; info@acerosarcainternacional.com.mx,Miguel Hidalgo,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS BEYRUTE RUIZ E HIJOS, S.A. DE C.V.",regu@ver.megared.net.mx,Veracruz,Veracruz,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS BRIDAS Y CONEXIONES, S.A. DE C.V.",abcvidalini@prodigy.net.mx,Coatzacoalcos,Veracruz,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS COMERCIALES DE MONTERREY, S.A. DE C.V.",aceroscomerialesdemonterrey@prodigy.net,San Nicolas De Los Garza,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS CUATRO CAMINOS, S.A DE C.V.",,Naucalpan De Juarez,Estado Mex.,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS DAGMA, S. DE R.L.",adagma@hotmail.com,Atizapan De Zaragoza,Estado Mex.,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS DE ESCOBEDO, S.A. DE C.V.",info@acerosescobedo.com,Escobedo,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACEROS DEL PACIFICO,,Culiacan,Sinaloa,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ACEROS DEL VALLE,,Culiacan,Sinaloa,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
"ACEROS DRAC, S.A DE C.V.",acerosdrac@hotmail.com,Gustavo A. Madero,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACEROS EL AGUILA,,San Luis Potosi,San Luis Potosí,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
"ACEROS EL SURTIDOR, S.A. DE C.V.",acerosur@prodigy.net.mx,Irapuato,Guanajuato,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS ESTRUCTURALES DE DURANGO, S.A. DE C.V.",acerosestructuralesdgo@prodigy.net.mx,Durango,Durango,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS GALPIN, S.A. DE C.V.",acerosgalpin@prodigy.net.mx,San Luis Potosi,San Luis Potosí,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ACEROS GUME DEL SURESTE,,Puebla,Puebla,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
"ACEROS H M, S.A. DE C.V.",hector@aceroshm.com,San Nicolas De Los Garza,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACEROS INOXIDABLES DE TOLUCA,,Toluca,Estado de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
ACEROS INOXIDABLES PACHECO,,Morelia,Michoacán,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
"ACEROS INOXIDABLES Y SERVICIOS INDUS TRIALES, S.A DE C.V.",fsoza@palmexico.com.mx,Gustavo A. Madero,Ciudad de México,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
ACEROS JASSO,ventas@acerosjasso.com,Merida,Yucatán,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS KOLD ROLL DE MONTERREY, S.A.",atencionclientes@koldroll.com,Santa Catarina,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS LA FAMA, S.A.",uortiz@acerotek.com.mx,San Nicolas De Los Garza,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS LOZANO, S.A. DE C.V.",ventas@aceroslozano.com.mx,Benito Juarez,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md; 583034336-Pad-Imp_extraccion_forense.md
ACEROS MAVI,acerosmavi@prodigy.net.mx,Saltillo,Coahuila,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md
"ACEROS MONROY DE SALTILLO, S.A. DE C.V.",acerosmonrroy@hotmail.com,Saltillo,Coahuila,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md
"ACEROS NACIONALES DE MEXICO, S.A.",,Apodaca,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS PLANOS DE GUADALUPE, S.A.",,Guadalupe,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS POPULARES, S.A. DE C.V.",acerospopulares@prodigy.net.mx,Monterrey,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
"ACEROS PROMESA, S.A DE C.V.",,San Nicolas De Los Garza,Nuevo León,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md
